"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $341.52/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0xf88d3cefceea3cbfa9994971a16b0e1b462394c1f30b50109ff93d535530701e","16704054","1649233091","2022-04-06 08:18:11","0x7a5ec1956cc01d32b1aed64b7adf4a10cade0697","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.0003","0","0.102456","0.000105","0.0358596","420.17","","","Transfer",""
"0x5a6d10a2408d3cfed7660ea6f0cb901ddfda45df7d019d4a97027458c3bbf5ae","16704068","1649233133","2022-04-06 08:18:53","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x55d398326f99059ff775485246999027b3197955","","0","0","0","0.00022203","0.0758276856","420.17","","","Approve",""
"0xaf5641c1f7845bf3014a5868366571b27dfebaaa1c3c4469309d76f02f147c51","16704362","1649234116","2022-04-06 08:35:16","0x7a5ec1956cc01d32b1aed64b7adf4a10cade0697","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","0.0008","0","0.273216","0.000105","0.0358596","420.17","","","Transfer",""
"0xbe995f17932378b6e02abe50cac046f1b15d5ed562abe611371f1a0aaae9c6e8","16704387","1649234206","2022-04-06 08:36:46","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00062753","0.2143140456","420.17","","","Swap Exact Tokens For ETH",""
"0x8884f5be3c0b47075cdf743db1f9108656fd4c85b9242acafdef4d05ee82ab99","16704515","1649234671","2022-04-06 08:44:31","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x55d398326f99059ff775485246999027b3197955","","0","0","0","0.00022203","0.0758276856","420.17","","","Approve",""
"0xdf5984ef448900adb6b4a7357f894f7e146bf94ed27b24cdf25fe704b6a69451","16731341","1649315481","2022-04-07 07:11:21","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00130289","0.4449629928","436.34","","","Swap Tokens For Exact Tokens",""
"0xbbc959b8762028b920374a8e3524930ae287061eef0da6f6b6042c1a15e3055b","16749046","1649368779","2022-04-07 21:59:39","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0xab2ca8b821562ae6121583b6d8a606c7f8ca35c1","","0","0","0","0.00010972","0.0374715744","436.34","","","Approve",""
"0x771091d8336ad108de336511a181fab8434f901211006f12b6f6874e67cd70ff","16797379","1649514411","2022-04-09 14:26:51","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x550e6000663eaf96a65bbd930ec19b85f2392bf9","","0","0","0","0.00010972","0.0374715744","426.93","","","Approve",""
"0x34f8d454996344a7ef04980150bf7226b0a2ff5cca0930a0c89e79ae951d660c","20257178","1659949060","2022-08-08 08:57:40","0x635308e731a878741bfec299e67f5fd28c7553d9","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","","1.06161155","0","362.561576556","0.000105","0.0358596","325.04","","","Transfer",""
"0x86a71d36093336003d4a2dc332936a9eefc11bbe3cbea4f840a3980a1da3647f","20257337","1659949537","2022-08-08 09:05:37","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0.9","307.368","0.003358105","1.1468600196","325.04","","","Swap Exact ETH For Tokens",""
"0xfbdab1a861553719d1bc51ab0efa7bf1e75cd9c65090da3a544c44c5f5332e69","20318979","1660134794","2022-08-10 12:33:14","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00055265","0.188741028","328.90","","","Swap Exact Tokens For ETH",""
"0xcec61f765da22f785920cc83ab60adc60418dd837b165de891d427ba4c3694c7","20578533","1660914403","2022-08-19 13:06:43","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x2a48ece377b87ce941406657b9278b4459595e06","","0","0","0","0.00022264","0.0760360128","279.11","","","Approve",""
"0x8315559e872e00bb335159a5350253fb73b2265ed2bb57807483e0ba30a38816","20578607","1660914625","2022-08-19 13:10:25","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00512345","1.749760644","279.11","","","Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens",""
"0xf78f4fe6966f083beacb608dd725c05060fcb74e771c2cdcf8f4184767e77847","20679674","1661217943","2022-08-23 01:25:43","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0.5","170.76","0.000839425","0.286680426","299.15","","","Swap Exact ETH For Tokens",""
"0x061b42aeacff7bbee7454d5f8c8658f712003f3251efcae6c7ac78c77a568c49","20679903","1661218630","2022-08-23 01:37:10","0x45ecd328179d61c4f74ce729c2399675e5bc85d0","0xe6ac4eb2d605becf39abd7b2d98311e657cc9044","","0","0","0","0.00022558","0.0770400816","299.15","","","Approve",""
